catalogo_curso_id,nombre,descripcion
1,Macropus eugenii,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
2,Eolophus roseicapillus,Phasellus in felis. Donec semper sapien a libero. Nam dui.
3,Seiurus aurocapillus,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
4,Haematopus ater,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
5,Mirounga angustirostris,Fusce consequat. Nulla nisl. Nunc nisl.
6,Passer domesticus,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
7,Macropus fuliginosus,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
8,Dusicyon thous,Fusce consequat. Nulla nisl. Nunc nisl.
9,Streptopelia decipiens,Phasellus in felis. Donec semper sapien a libero. Nam dui.
10,Alces alces,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
11,Felis chaus,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
12,Propithecus verreauxi,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
13,Dicrostonyx groenlandicus,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
14,Potamochoerus porcus,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
15,Ovis dalli stonei,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
16,Vanellus chilensis,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
17,Choriotis kori,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
18,Felis silvestris lybica,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
19,Stercorarius longicausus,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
20,Isoodon obesulus,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
21,Axis axis,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
22,Haliaeetus leucocephalus,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
23,Thalasseus maximus,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
24,Felis silvestris lybica,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
25,Certotrichas paena,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
26,Cynictis penicillata,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
27,Dendrocitta vagabunda,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
28,Sarkidornis melanotos,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
29,Ictonyx striatus,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
30,Casmerodius albus,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
31,Cynictis penicillata,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
32,Macropus rufogriseus,In congue. Etiam justo. Etiam pretium iaculis justo.
33,Marmota monax,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
34,Nannopterum harrisi,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
35,Physignathus cocincinus,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
36,Macropus rufogriseus,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
37,Papilio canadensis,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
38,Larus novaehollandiae,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
39,Platalea leucordia,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
40,Nucifraga columbiana,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
