servicio_id,precio,fecha,descripcion,empleado_id,mascota_id
1,166.7,2/13/2024,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,38,968
2,225.3,6/29/2023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",16,403
3,325.67,9/3/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,36,212
4,273.42,9/15/2023,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",22,75
5,280.4,1/5/2024,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,23,327
6,456.14,12/4/2023,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",29,536
7,297.65,8/21/2023,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",12,184
8,460.29,1/25/2024,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,21,174
9,448.63,12/12/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,21,336
10,384.66,2/3/2024,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,49,245
11,467.24,5/16/2024,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,3,915
12,439.29,5/18/2024,Fusce consequat. Nulla nisl. Nunc nisl.,49,936
13,290.22,5/10/2024,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",46,535
14,404.63,2/14/2024,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",48,156
15,220.47,9/13/2023,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,10,253
