servicio_id,fecha_revision,descripcion_problema,costo,mascota_id,catalogo_diagnostico_id,empleado_id
1,04/27/2024,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1320.1,1,1,55
2,01/24/2024,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1509.89,2,2,16
3,04/21/2024,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",608.31,3,3,30
4,02/15/2024,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",991.22,4,4,13
5,08/22/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,939.65,5,5,21
6,05/20/2024,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1745.56,6,6,35
7,08/06/2023,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,1391.32,7,7,50
8,10/01/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1391.28,8,8,35
9,10/29/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,599.07,9,9,34
10,11/22/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1384.32,10,10,52
11,05/26/2024,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1524.94,11,11,58
12,04/29/2024,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,910.89,12,12,49
13,10/13/2023,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1239.44,13,13,48
14,11/03/2023,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,1651.35,14,14,51
15,04/30/2024,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1805.38,15,15,26
16,12/16/2023,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1751.19,16,16,26
17,03/24/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1505.64,17,17,36
18,11/16/2023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1695.22,18,18,25
19,04/08/2024,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1062.96,19,19,44
20,11/05/2023,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",706.53,20,20,7
21,03/01/2024,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",712.75,21,21,44
22,05/08/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1804.94,22,22,35
23,11/19/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1253.4,23,23,7
24,12/12/2023,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,632.78,24,24,7
25,11/18/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,857.76,25,25,57
26,02/15/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1197.71,26,26,26
27,06/12/2023,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",930.02,27,27,12
28,03/05/2024,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1525.32,28,28,45
