CATALOGO_PRODUCTO_ID,NOMBRE,PRECIO,DESCRIPCION
1,"Lemming, collared",958,"Magnetic Resonance Imaging (MRI) of Intracranial Arteries using Other Contrast, Unenhanced and Enhanced"
2,"Grouse, greater sage",1964,"Revision of Autologous Tissue Substitute in Tricuspid Valve, Percutaneous Endoscopic Approach"
3,"Vulture, oriental white-backed",2632,"Destruction of Stomach, Pylorus, Via Natural or Artificial Opening"
4,Western pygmy possum,1185,"Removal of Synthetic Substitute from Tracheobronchial Tree, Via Natural or Artificial Opening"
5,"Tern, arctic",3903,"Restriction of Right Peroneal Artery with Extraluminal Device, Percutaneous Endoscopic Approach"
6,"Meerkat, red",3146,"Revision of Drainage Device in Right Eye, Via Natural or Artificial Opening Endoscopic"
7,"Mongoose, banded",844,"Drainage of Right External Auditory Canal, External Approach, Diagnostic"
8,Long-nosed bandicoot,1072,"Fusion of Right Metacarpophalangeal Joint with External Fixation Device, Percutaneous Endoscopic Approach"
9,"Lory, rainbow",4499,"Bypass Cecum to Rectum with Synthetic Substitute, Open Approach"
10,Little cormorant,4265,"Revision of Autologous Tissue Substitute in Peritoneum, Percutaneous Approach"
11,Black-throated cardinal,4608,"Supplement Left Wrist Region with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
12,"Crane, sandhill",3353,"Excision of Carina, Via Natural or Artificial Opening Endoscopic, Diagnostic"
13,Helmeted guinea fowl,1998,"Dilation of Right Eustachian Tube, Percutaneous Endoscopic Approach"
14,Crab (unidentified),110,"Drainage of Gastric Vein, Percutaneous Approach"
15,Black-necked stork,4491,"Restriction of Left Femoral Artery, Open Approach"
16,Mudskipper (unidentified),4927,"Release Epiglottis, Via Natural or Artificial Opening"
17,Crab-eating fox,3260,"Revision of Drainage Device in Coccygeal Joint, Open Approach"
18,"Snake, carpet",4689,"Excision of Left Temporal Artery, Percutaneous Approach"
19,Western bearded dragon,3612,"Restriction of Right Upper Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach"
20,"Kangaroo, red",3530,"Supplement Right Temporomandibular Joint with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
21,Prairie falcon,2633,Beam Radiation of Back Skin using Photons <1 MeV
22,African darter,148,"Restriction of Small Intestine with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
23,Sportive lemur,3278,"Extirpation of Matter from Left Pulmonary Vein, Percutaneous Endoscopic Approach"
24,Common palm civet,3873,"Release Left Ventricle, Percutaneous Endoscopic Approach"
25,"Eagle, crowned",4827,"Dilation of Hepatic Artery with Three Intraluminal Devices, Percutaneous Approach"
26,Purple moorhen,4775,"Extraction of Right Mastoid Sinus, Percutaneous Endoscopic Approach"
27,"Rattlesnake, eastern diamondback",2256,"Inspection of Right Hip Joint, Percutaneous Endoscopic Approach"
28,Hummingbird (unidentified),3160,"Dilation of Thoracic Aorta, Ascending/Arch with Drug-eluting Intraluminal Device, Percutaneous Approach"
29,South American puma,2013,"Revision of Spacer in Right Sternoclavicular Joint, Percutaneous Approach"
30,Wild water buffalo,763,"Revision of Synthetic Substitute in Uterus and Cervix, Percutaneous Endoscopic Approach"
31,White rhinoceros,186,"Resection of Right Mastoid Sinus, Open Approach"
32,"Boa, emerald green tree",4947,"Division of Left Hand Tendon, Percutaneous Approach"
33,"Stork, woolly-necked",451,"Supplement Left Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
34,South American puma,3292,"Bypass Middle Esophagus to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
35,Grant's gazelle,3488,"Reposition Sacrum, Open Approach"
36,Indian red admiral,1872,"Bypass Jejunum to Transverse Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
37,Spotted deer,3944,"Extirpation of Matter from Gastric Vein, Percutaneous Approach"
38,Margay,2697,"Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
39,Striped hyena,1012,"Replacement of Splenic Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
40,Lesser masked weaver,4372,"Destruction of Left Lower Femur, Percutaneous Endoscopic Approach"
41,Common pheasant,2507,"Ultrasonography of Right Renal Vein, Guidance"
42,Red-breasted cockatoo,769,"Revision of Autologous Tissue Substitute in Lymphatic, External Approach"
43,"Eagle, tawny",4396,Change Bandage on Left Foot
44,"Meerkat, red",4219,Immobilization of Left Lower Extremity using Splint
45,"Peacock, indian",2879,"Release Ulnar Nerve, Open Approach"
46,Southern elephant seal,771,"Bypass Right Common Iliac Artery to Right Common Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
47,Green heron,3418,"Insertion of Infusion Device into Left Ventricle, Open Approach"
48,"Otter, giant",2492,"Destruction of Radial Nerve, Percutaneous Endoscopic Approach"
49,Hoffman's sloth,4585,"Drainage of Left Femoral Region with Drainage Device, Open Approach"
50,Golden-mantled ground squirrel,1839,"Reposition Sacral Plexus, Percutaneous Endoscopic Approach"
51,Galapagos albatross,1183,"Reposition Left Common Iliac Artery, Open Approach"
52,Great egret,811,"Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach"
53,"Stork, yellow-billed",4292,Change Traction Apparatus on Right Upper Arm
54,Roan antelope,4331,"Revision of Nonautologous Tissue Substitute in Left Hip Joint, Open Approach"
55,"Fowl, helmeted guinea",2665,"Removal of Infusion Device from Right Knee Joint, External Approach"
56,European beaver,4612,"Transfer Left Lower Arm and Wrist Muscle with Subcutaneous Tissue, Open Approach"
57,Cape clawless otter,1771,"Supplement Right Epididymis with Nonautologous Tissue Substitute, Open Approach"
58,"Buffalo, american",3405,Magnetic Resonance Imaging (MRI) of Larynx
59,"Jackal, indian",4827,"Drainage of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach"
60,"Deer, savannah",1760,"Supplement Head Lymphatic with Nonautologous Tissue Substitute, Open Approach"
61,"Dragon, komodo",3087,"Supplement Tricuspid Valve with Autologous Tissue Substitute, Percutaneous Approach"
62,Pine siskin,4728,Sensory Awareness/Processing/Integrity Assessment of Musculoskeletal System - Upper Back / Upper Extremity
